Stock, Daily Change, avg low, avg high, Weekly Change, percentage Profit, Highest, Lowest, Daily Average Price, RSI, Rating, Current Price
AACG, 0.07132812356576324, 1.0683593768626451, 1.1396875004284084, 1.8259999632835389, 6.992953421525809, 1.6200000047683716, 0.7900000214576721, 1.096640626899898, 53.40907141511408, Normal, 1.059999942779541
AADI, 0.28571096155792475, 4.568429669365287, 4.854140630923212, 7.31420061588287, 16.806526679055782, 7.239999771118164, 1.6699999570846558, 4.702304685488343, 71.6843427910227, Normal, 1.7200000286102295
AAMC, 0.7639053259044886, 7.772562926635146, 8.536468252539635, 19.5559763431549, 22.534079712840654, 36.235294342041016, 2.640000104904175, 8.0477803517133, 89.28351031361788, OverBought, 3.549999952316284
AAOI, 1.360132783651352, 11.899875063449144, 13.260007847100496, 34.819399261474636, 7.880259360456951, 24.079999923706055, 5.860000133514404, 12.58804688975215, 80.27481152869193, OverBought, 17.40999984741211
ABAT, 0.6327734217047691, 6.744445340707898, 7.377218762412667, 16.19899959564209, 18.183144202201426, 13.779999732971191, 3.3299999237060547, 6.981234364211559, 78.65671705806591, Normal, 3.559999942779541
ABEO, 0.2800781447440386, 4.061796871945262, 4.3418750166893005, 7.170000505447388, 5.386118365716232, 5.940000057220459, 2.8299999237060547, 4.193515637889504, 75.30315868788344, Normal, 5.25
ABL, 0.569421824067831, 7.104359392076731, 7.673781216144562, 14.577198696136474, 5.125309105888239, 12.1899995803833, 5.46999979019165, 7.357398454099894, 82.48971049916942, OverBought, 11.109999656677246
ABLLW, 0.05889999866485596, 0.9300000071525574, 0.9889000058174133, 0.011779999732971192, 6.3333331410602876, 0.9889000058174133, 0.9300000071525574, 0.9300000071525574, 0, Oversold, 0.9300000071525574
ABLV, 0.20374724105164244, 2.688318683550908, 2.8920659246025506, 3.708199787139891, 8.670095715748511, 4.150000095367432, 1.600000023841858, 2.7733076889436323, 68.35443630037516, Normal, 2.3499999046325684
ABOS, 0.3259453009814024, 4.35523437615484, 4.681179677136242, 8.344199705123904, 8.510321343975518, 11.3100004196167, 1.809999942779541, 4.497226558625698, 74.2136950605708, Normal, 3.880000114440918
ABSI, 0.214398430660367, 1.8640546891838312, 2.0784531198441982, 5.488599824905397, 5.441584455499173, 5.46999979019165, 1.1109999418258667, 1.9658203097060323, 63.63268686105895, Normal, 3.990000009536743
ABVC, 0.2559374994598329, 1.5290781185030937, 1.7850156179629266, 6.551999986171726, 18.281250272744472, 6.869999885559082, 0.6740000247955322, 1.6161874998360872, 62.12786649907547, Normal, 1.4299999475479126
ACAX, 0.31856368434044624, 9.849427465469606, 10.167991149810053, 7.900379371643068, 10.762286494424316, 15.039999961853027, 2.9600000381469727, 9.956842747426801, 84.93899726733466, OverBought, 3.928499937057495
ACDC, 0.4846249856054783, 9.690078143030405, 10.174703128635883, 12.40639963150025, 6.59353730467436, 14.229999542236328, 7.119999885559082, 9.901718735694885, 87.63380673507262, OverBought, 7.460000038146973
ACER, 0.07241185009479523, 0.7748055458068848, 0.84721739590168, 1.3323780417442324, 10.969830622033763, 1.7598999738693237, 0.5515000224113464, 0.8109684761451639, 51.18651972244489, Normal, 0.660099983215332
ACET, 0.16606249753385782, 1.6958906222134829, 1.8619531197473407, 4.25119993686676, 5.507877006828023, 3.7699999809265137, 1.100000023841858, 1.7700781226158142, 65.10903050145599, Normal, 3.3299999237060547
ACHL, 0.05166405951604247, 0.8743203147314489, 0.9259843742474914, 1.3225999236106873, 5.8576029265575515, 1.1200000047683716, 0.7400000095367432, 0.9003828107379377, 48.98786131450643, Normal, 0.8859999775886536
ACHR, 0.4179687164723873, 5.5579765774309635, 5.975945293903351, 10.699999141693118, 8.10802520778028, 7.489999771118164, 4.389999866485596, 5.751562487334013, 74.07368285240098, Normal, 5.170000076293945
ACHV, 0.2713281027972698, 4.494765656068921, 4.766093758866191, 6.945999431610106, 6.475610956847149, 5.980000019073486, 3.0299999713897705, 4.635781269520521, 77.60747105859487, Normal, 4.289999961853027
ACLS, 6.0640629529953, 150.22335940599442, 156.28742235898972, 155.24001159667966, 5.361682612562409, 201.0, 112.51000213623047, 153.09140598773956, 99.1251704988845, OverBought, 114.12000274658203
ACON, 0.8696015421301126, 5.987468741834164, 6.857070283964276, 22.261799478530893, 28.890416773598588, 11.503999710083008, 2.75, 6.372265616431832, 75.55633851397096, Normal, 3.140000104904175
